error,exterior_color,interior_color,listing_url,location,mileage,model,price_usd,raw_options,source,transmission_raw,trim,vin,year
,Exterior color,Interior color,https://www.cars.com/vehicledetail/20c1de27-55a3-489e-95bd-eca9aae7ff0b/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,,52992,Cayman,2010,,cars.com,PDK,Base,WP0AA2A85AU760548,2010
,Exterior color,Interior color,https://www.cars.com/vehicledetail/7311a5f7-f756-42fe-827b-ee08cfaa1ec4/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,,53502,Cayman,2009,,cars.com,Automatic,S,WP0AB29889U780547,2009
,Exterior color,Interior color,https://www.cars.com/vehicledetail/b2b31298-3bfc-467c-8019-00ea77bd05e0/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,,56415,Cayman,2009,,cars.com,PDK,S,WP0AB29869U780241,2009
,,,https://www.cars.com/vehicledetail/1d7782cc-50ae-41f2-8348-fd89d7264934/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,,142552,Cayman,15,,cars.com,,"R For Sale $57,756 | Cars.com",,2012
,Exterior color,Interior color,https://www.cars.com/vehicledetail/e976df74-a8de-4fd2-b91f-c9d0568ef9ac/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,,76885,Cayman,2012,,cars.com,PDK,Black Edition,WP0AB2A86CS780304,2012
,Exterior color,Interior color,https://www.cars.com/vehicledetail/7d2807e2-6030-4e66-a677-f3206e5649f1/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,,35027,Cayman,2009,,cars.com,PDK,,WP0AA29889U760463,2009
,,,https://www.cars.com/vehicledetail/2fde15b3-fa40-4cfb-8b35-5e3d3e60f4ab/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,,41398,Cayman,2008,,cars.com,,"For Sale $28,499 | Cars.com",,2010
,Exterior color,Interior color,https://www.cars.com/vehicledetail/4666f3db-52a0-48cc-a64f-23f3b4e386e8/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,,111502,Cayman,2009,,cars.com,PDK,S,WP0AB29829U780608,2009
,Exterior color,Interior color,https://www.cars.com/vehicledetail/8f4b448f-0a97-41e9-8628-515fda6e1d0e/?aff=atempst&utm_campaign=atempst&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,,67530,Cayman,2009,,cars.com,PDK,S,WP0AB29879U780166,2009
,Exterior color,Interior color,https://www.cars.com/vehicledetail/f36525be-f38b-4213-ad98-f5c0af0d0dba/?aff=atempst&utm_campaign=atempst&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,,142400,Cayman,2010,,cars.com,PDK,S,WP0AB2A89AU780654,2010
,Exterior color,Interior color,https://www.cars.com/vehicledetail/95ccdfb3-fefa-460a-8116-b971133af8c3/?aff=atempst&utm_campaign=atempst&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,,92500,Cayman,2009,,cars.com,PDK,S,WP0AB29889U780175,2009
,Exterior Color,Seating and interior,https://www.carvana.com/vehicle/lt/3775010?utm_source=autotempest&utm_medium=3rd-party-listing&utm_campaign=new-vdp&utm_content=3_20250819_3896393,,66282,,2012,,carvana.com,Automatic,,WP0AA2A89CS760230,2012
,Exterior Color,Seating and interior,https://www.carvana.com/vehicle/lt/3793506?utm_source=autotempest&utm_medium=3rd-party-listing&utm_campaign=new-vdp&utm_content=3_20250819_3934230,,26871,,2010,,carvana.com,Automatic,,WP0AB2A81AU780132,2010
,Exterior Color,Seating and interior,https://www.carvana.com/vehicle/lt/3745930?utm_source=autotempest&utm_medium=3rd-party-listing&utm_campaign=new-vdp&utm_content=3_20250819_3858776,,73811,,2011,,carvana.com,Automatic,,WP0AA2A87BU760567,2011
,Exterior color,Interior color,https://www.truecar.com/used-cars-for-sale/listing/WP0AB2A88BU780243/?referrer_id=autotempest,Location,71161,Cayman,2011,,truecar.com,PDK,S,WP0AB2A88BU780243,2011
